"Word","Word_Spanish","Condition","Conc.M","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"abyss","abismo",1,3.8,2.285714286,0.476190476,1.428571429,3.928571429,0.428571429,3.738095238,2.142857143,1.80952381,2.619047619,1.666666667,2.404761905,1.700584036,0.916996562,1.727014301,1.52047581,0.800696561,1.593577411,1.774774854,1.611514895,2.011580873,1.803339269,1.887823935,3.928571429,5.03850096,0.284883721,"Interoceptive",2.619047619,3.738862683,0.089485459,"Head",3.928571429,5.648053497,0.152647975,"Interoceptive"
"art","arte",1,3,3.857142857,2.023809524,3.5,3.880952381,1.642857143,4.476190476,2.30952381,3.714285714,3.452380952,2.547619048,2.476190476,1.631570074,1.854304093,1.502031145,1.517417269,1.722468854,1.087357397,1.931612434,1.486290427,1.797048813,1.940610678,1.890129628,4.476190476,6.391682822,0.146191646,"Visual",3.714285714,5.147942562,0.096880131,"Hand_arm",4.476190476,7.352992429,0.083626142,"Visual"
"bright","brillante",1,4.4,1.880952381,0.595238095,1.785714286,2.928571429,0.571428571,4.476190476,1.142857143,1.833333333,2.69047619,1.238095238,1.285714286,1.684974936,1.307754057,1.774283975,1.730541395,1.212593615,1.087357397,1.353791939,1.65155753,1.931612434,1.708080135,1.671653399,4.476190476,5.033767408,0.319066148,"Visual",2.69047619,3.146554127,0.188953488,"Head",4.476190476,5.4141275,0.191142191,"Visual"
"song","cancion",1,5.2,4.642857143,1.071428571,1.595238095,4.428571429,0.69047619,2.571428571,2.761904762,2.928571429,3.452380952,3.714285714,2.642857143,0.932382957,1.613855513,1.682905789,0.859462598,1.178839761,1.594852346,1.708080135,1.598671051,1.610974269,1.502610968,1.679451545,4.642857143,5.939747172,0.263492063,"Auditory",3.714285714,5.395095568,0.069124424,"Mouth",4.642857143,7.156952326,0.129586261,"Auditory"
"sponge","esponja",1,5.9,1.285714286,0.785714286,4.142857143,1.69047619,1,3.142857143,1.714285714,3.428571429,1.404761905,0.880952381,2.119047619,1.453099535,1.33500186,1.260496003,1.787327958,1.343457498,1.690308509,1.757016794,1.64009008,1.69733685,1.328897965,1.850542188,4.142857143,4.79997108,0.278656126,"Haptic",3.428571429,3.877809167,0.266832918,"Hand_arm",4.142857143,5.527707935,0.155457552,"Haptic"
"flower","flor",1,5.6,0.666666667,2,3.833333333,2.857142857,4.047619048,4.30952381,0.952380952,3.738095238,2,1.642857143,1.285714286,1.18252864,1.766904417,1.39540477,1.718925197,1.228768587,1.219518002,1.248460143,1.498934968,1.912730139,1.79187092,1.612235447,4.30952381,6.164855838,0.205645161,"Visual",3.738095238,4.074780256,0.28960396,"Hand_arm",4.30952381,6.708840194,0.133275261,"Visual"
"freshness","frescura",1,3,1.80952381,3.333333333,2.761904762,3.523809524,3.571428571,2.785714286,1.761904762,2.547619048,2.547619048,3.738095238,2.119047619,1.549792988,1.776083203,1.93566682,1.533974516,1.594852346,1.704165833,1.778043921,1.876717177,1.876717177,1.562666948,1.684974936,3.571428571,5.592995573,0.099062918,"Olfactory",3.738095238,4.646047711,0.155430712,"Mouth",3.738095238,6.504898203,0.06479313,"Mouth"
"fire","fuego",1,5.8,2.523809524,0.80952381,3.619047619,3.571428571,2.642857143,4.071428571,1.547619048,3.142857143,1.928571429,1.833333333,1.595238095,1.517991215,1.31108027,1.560993757,1.38181318,1.558946307,1.350570921,1.5012577,1.616552015,1.866166766,1.737908284,1.515119311,4.071428571,5.803944394,0.189226519,"Visual",3.142857143,3.735980882,0.158767773,"Hand_arm",4.071428571,6.279850724,0.119546248,"Visual"
"war","guerra",1,5.9,3.785714286,0.666666667,1.619047619,4.214285714,1.119047619,3.738095238,2.19047619,2.619047619,2.857142857,2.261904762,2.452380952,1.490387317,1.300406441,1.886439167,0.950884422,1.533406553,1.60880995,1.92845313,1.780002479,1.932664388,1.900699792,1.755859611,4.214285714,5.721305856,0.23427673,"Interoceptive",2.857142857,4.274857391,0.053846154,"Head",4.214285714,6.426371752,0.128892734,"Interoceptive"
"mask","mascara",1,4.8,0.857142857,0.619047619,2.952380952,2.095238095,0.976190476,3.738095238,0.5,1.952380952,4.023809524,1.761904762,0.904761905,1.31726673,1.14662561,1.396028879,1.708080135,1.387893565,1.344537708,1.173903224,1.847244236,1.297052855,1.635125472,1.428106777,3.738095238,4.464137872,0.277542373,"Visual",4.023809524,4.289516027,0.385416667,"Head",4.023809524,5.516649959,0.172897196,"Head"
"miracle","milagro",1,3.1,2,0.69047619,1,3.595238095,0.69047619,2.595238095,1.214285714,1.904761905,2.452380952,1.761904762,1.523809524,1.753046129,1.219518002,1.379289319,1.562666948,1.258882494,1.861805101,1.554469783,1.589746472,1.823991615,1.910299731,1.641505782,3.595238095,4.190930666,0.274774775,"Interoceptive",2.452380952,3.189875845,0.139784946,"Head",3.595238095,4.73362123,0.149509804,"Interoceptive"
"engine","motor",1,5.5,3.738095238,0.452380952,2.523809524,2.30952381,1.880952381,3.238095238,1.857142857,2.952380952,1.547619048,0.761904762,1.30952381,1.482573962,0.832345524,1.626579461,1.645216203,1.699388426,1.375916968,1.733056352,1.793652507,1.727854739,1.321667901,1.473143234,3.738095238,4.950550241,0.232323232,"Auditory",2.952380952,3.377665005,0.259887006,"Hand_arm",3.738095238,5.427277682,0.14556962,"Auditory"
"death","muerte",1,4,1.928571429,0.69047619,2.071428571,3.880952381,1.619047619,3.333333333,1.333333333,2.30952381,2.785714286,2.071428571,2.452380952,1.826536869,1.278110176,1.879191019,1.38286343,1.710118823,1.776083203,1.524861716,1.827808167,1.994329942,1.9304095,1.837314861,3.880952381,4.878758256,0.235915493,"Interoceptive",2.785714286,3.913649576,0.132608696,"Head",3.880952381,5.604817208,0.130350195,"Interoceptive"
"ocean","oceano",1,5.5,4.166666667,2.357142857,3.547619048,3.666666667,3.142857143,4.571428571,3.142857143,3.30952381,3.238095238,2.452380952,3.023809524,1.08012345,1.736571174,1.640975037,1.691682186,1.747073212,0.887387427,1.747073212,1.73188316,1.79170887,1.769695867,1.906191392,4.571428571,6.738348518,0.103218646,"Visual",3.30952381,5.237136286,0.056514914,"Hand_arm",4.571428571,7.66081783,0.06046814,"Visual"
"gold","oro",1,6,1.071428571,0.80952381,3.095238095,1.928571429,0.666666667,4.214285714,0.833333333,2.666666667,1.5,0.761904762,0.785714286,1.368510979,1.468998252,1.47845542,1.613855513,0.979463932,1.000870701,1.359997609,1.74840229,1.685664087,1.375916968,1.27901857,4.214285714,4.844981683,0.301010101,"Visual",2.666666667,2.878236198,0.290909091,"Hand_arm",4.214285714,5.162330976,0.193506494,"Visual"
"stone","piedra",1,6.2,2.119047619,0.904761905,4.142857143,1.69047619,0.80952381,3.69047619,2.833333333,3.714285714,1.523809524,1.214285714,1.142857143,1.810570331,1.428106777,1.240995442,1.537944387,1.292343216,1.584807371,1.591389432,1.581689654,1.728358805,1.57008178,1.406802785,4.142857143,5.154950332,0.249554367,"Haptic",3.714285714,4.323341517,0.246575342,"Hand_arm",4.142857143,6.016564728,0.14014014,"Haptic"
"power","poder",1,3.3,2.476190476,0.976190476,2.238095238,3.452380952,0.833333333,3.357142857,1.976190476,3.380952381,3.166666667,2.785714286,2.738095238,1.953584513,1.615294208,1.832092284,1.727854739,1.323643653,1.764437706,1.880426719,1.529424903,1.820167061,1.893966212,1.62389961,3.452380952,4.745796764,0.196428571,"Interoceptive",3.380952381,4.936053525,0.1,"Hand_arm",3.452380952,6.101537821,0.095652174,"Interoceptive"
"treasure","tesoro",1,5,1.785714286,0.833333333,3.095238095,2.595238095,0.714285714,3.904761905,0.857142857,2.857142857,2.142857143,0.857142857,1.333333333,1.732553653,1.39540477,1.574329494,1.562666948,1.215463663,1.265094691,1.260496003,1.774774854,1.774774854,1.474522305,1.556523121,3.904761905,4.838968924,0.246777164,"Visual",2.857142857,3.325999425,0.24852071,"Hand_arm",3.904761905,5.314480038,0.152099886,"Visual"
"emptiness","vacio",1,3.4,2.261904762,0.976190476,2.238095238,4.023809524,0.642857143,3.571428571,1.619047619,2.619047619,2.5,1.80952381,1.928571429,2.036969579,1.630323853,1.985428919,1.439649267,1.143836688,1.862896475,1.752383477,1.807199436,1.953733137,1.811051376,1.813134426,4.023809524,5.125905631,0.246527778,"Interoceptive",2.619047619,3.706788699,0.095454545,"Hand_arm",4.023809524,5.704326513,0.13976378,"Interoceptive"
"journey","viaje",1,5,3.333333333,2.714285714,2.666666667,4.095238095,2.428571429,4.476190476,3.357142857,2.904761905,3.19047619,2.095238095,2.476190476,1.602843003,1.838420774,1.789763122,1.303083095,1.727014301,0.833391403,1.589929107,1.605015368,1.611514895,1.778043921,1.877181271,4.476190476,6.288566199,0.103864734,"Visual",3.357142857,4.921479513,0.089983022,"Foot_leg",4.476190476,7.165388202,0.07057163,"Visual"
